,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
,,,,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,Studying,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,Studying,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,photo,Studying,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,photo,Studying,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,photo,Studying,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,photo,Studying,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,Studying,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,Studying,neutral,35
,,,,,,,
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,photo,Studying,neutral,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,photo,Studying,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,photo,Studying,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,photo,Studying,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,photo,Studying,negative,15
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,photo,Studying,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,photo,Studying,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,photo,Studying,neutral,20
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,photo,Studying,positive,30
,,,,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,photo,Studying,neutral,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,photo,Studying,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,photo,Studying,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,photo,Studying,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,photo,Studying,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,photo,Studying,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,photo,Studying,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,photo,Studying,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,photo,Studying,positive,75
,,,,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,photo,Studying,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,photo,Studying,positive,30
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,photo,Studying,neutral,20
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,photo,Studying,positive,75
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,photo,Studying,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,photo,Studying,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,photo,Studying,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,photo,Studying,negative,10
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,photo,Studying,negative,15
,,,,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,photo,Studying,positive,70
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,photo,Studying,positive,30
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,photo,Studying,neutral,20
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,photo,Studying,negative,12
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,photo,Studying,negative,5
,,,,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,photo,healthy eating,negative,10
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,photo,healthy eating,positive,45
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,photo,healthy eating,neutral,35
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,photo,healthy eating,negative,15
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,photo,healthy eating,negative,5
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,photo,healthy eating,negative,0
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,photo,healthy eating,negative,5
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,photo,healthy eating,positive,50
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,photo,healthy eating,positive,65
,,,,,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,photo,healthy eating,positive,60
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,photo,healthy eating,neutral,20
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,photo,healthy eating,neutral,35
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,photo,healthy eating,positive,65
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,photo,healthy eating,positive,50
,,,,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,photo,healthy eating,negative,5
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,photo,healthy eating,positive,75
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,photo,healthy eating,positive,72
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,photo,healthy eating,negative,15
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,photo,healthy eating,positive,70
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,photo,healthy eating,positive,72
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,photo,healthy eating,positive,30
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,photo,healthy eating,positive,60
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,photo,healthy eating,positive,50
,,,,,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,photo,healthy eating,negative,5
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,photo,healthy eating,positive,30
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,photo,healthy eating,negative,10
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,photo,healthy eating,neutral,35
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,photo,healthy eating,positive,60
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,photo,healthy eating,positive,75
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09-07-2020 16:47,photo,healthy eating,positive,70
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01-08-2020 19:16,photo,healthy eating,negative,5
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,photo,healthy eating,negative,10
,,,,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,photo,healthy eating,negative,10
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13-11-2020 00:33,photo,healthy eating,positive,70
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-06-2021 10:13,photo,healthy eating,positive,30
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29-10-2020 19:41,photo,healthy eating,positive,65
